chr10	111773450	111774078	chr10	111769636	111775070	SHOC2;BBIP1
chr10	111968813	111969090	chr10	111968619	111970936	RBM20
chr10	111969356	111970936	chr10	111968619	111970936	RBM20
chr10	112042900	112043372	chr10	112042576	112045980	RBM20
chr10	112064171	112065283	chr10	112064171	112065647	RBM20
chr10	112097390	112097950	chr10	112096982	112101375	SHOC2;BBIP1
chr10	112100673	112100873	chr10	112096982	112101375	SHOC2;BBIP1
chr10	112257052	112258433	chr10	112256760	112259279	RBM20
chr10	112258970	112259279	chr10	112256760	112259279	RBM20
chr10	112326828	112327017	chr10	112321303	112327017	RBM20
chr10	112326828	112327017	chr10	112321303	112327017	SHOC2;BBIP1
chr10	112379385	112379722	chr10	112372519	112388918	RBM20
chr10	112382995	112383363	chr10	112372519	112388918	RBM20
chr10	112406278	112406635	chr10	112406278	112406883	SHOC2
chr10	112424648	112424978	chr10	112422921	112428691	RBM20
chr10	112426776	112427004	chr10	112422921	112428691	RBM20
chr10	112427437	112428091	chr10	112422921	112428691	RBM20
chr10	112468733	112469051	chr10	112463558	112469051	RBM20
chr10	112502558	112502945	chr10	112501733	112509345	SHOC2;BBIP1
chr10	112504597	112504895	chr10	112501733	112509345	SHOC2;BBIP1
chr10	112505878	112506806	chr10	112501733	112509345	SHOC2;BBIP1
chr10	112507800	112508244	chr10	112501733	112509345	SHOC2;BBIP1
chr10	112543282	112543776	chr10	112542138	112545730	SHOC2;BBIP1
chr10	112543955	112544303	chr10	112542138	112545730	SHOC2;BBIP1
chr10	112549882	112550093	chr10	112549120	112553226	SHOC2;BBIP1
chr10	112553027	112553226	chr10	112549120	112553226	SHOC2;BBIP1
chr10	112553227	112553915	chr10	112553227	112561051	SHOC2;BBIP1
chr10	112554388	112555251	chr10	112553227	112561051	SHOC2;BBIP1
chr10	112558087	112558776	chr10	112553227	112561051	SHOC2;BBIP1
chr10	112579911	112580574	chr10	112579634	112584164	RBM20
chr10	112579911	112580574	chr10	112579634	112584164	SHOC2;BBIP1
chr10	112581190	112581634	chr10	112579634	112584164	RBM20
chr10	112581190	112581634	chr10	112579634	112584164	SHOC2;BBIP1
chr10	112581738	112583153	chr10	112579634	112584164	RBM20
chr10	112581738	112583153	chr10	112579634	112584164	SHOC2;BBIP1
chr10	112630911	112632767	chr10	112630811	112633553	RBM20
chr10	112639147	112639479	chr10	112636448	112641070	SHOC2;BBIP1
